Iteration,Insert,Search,Insert Collisions,Search Collisions,Unit: µs
0,0.05,0.01,0,0
1,0.28,0.01,3,0
2,0.02,0.01,0,0
3,0.05,0.01,1,0
4,0.05,0.01,6,0
5,0.05,0.01,5,0
6,0.05,0.01,6,0
7,0.02,0.16,3,0
8,0.07,0.01,8,1
9,0.05,0.01,8,1
10,0.06,0.01,15,1
11,0.03,0.01,9,1
12,0.06,0.01,13,2
13,0.05,0.01,7,1
14,0.05,0.01,12,1
15,0.06,0.01,14,3
16,0.03,0.01,8,0
17,0.05,0.01,11,1
18,0.06,0.02,11,2
19,0.06,0.01,17,2
20,0.04,0.01,18,1
21,0.13,0.01,22,1
22,0.07,0.01,23,1
23,0.06,0.01,22,2
24,0.07,0.02,38,3
25,0.04,0.01,20,2
26,0.07,0.02,26,4
27,0.07,0.01,29,4
28,0.07,0.02,27,4
29,0.07,0.01,24,1
30,0.05,0.02,34,4
31,0.07,0.02,33,7
32,0.07,0.02,27,4
33,0.08,0.01,26,4
34,0.04,0.02,24,4
35,0.08,0.02,41,5
36,0.08,0.02,31,4
37,0.07,0.02,30,9
38,0.08,0.02,47,8
39,0.05,0.02,38,6
40,0.09,0.02,44,3
41,0.14,0.19,47,7
42,0.09,0.03,39,10
43,0.06,0.03,41,8
44,0.1,0.03,40,7
45,0.09,0.03,48,8
46,0.1,0.03,32,12
47,0.12,0.04,43,6
48,0.08,0.03,44,20
49,1.06,0.28,48,6
50,0.31,0.07,48,11
51,0.18,0.07,60,10
52,0.12,0.09,49,9
53,0.15,0.07,49,12
54,0.15,0.09,57,10
55,0.29,0.08,49,14
56,0.14,0.07,66,11
57,0.14,0.08,54,21
58,0.37,0.06,55,11
59,0.14,0.08,53,12
60,0.15,0.07,53,11
61,0.13,0.19,68,16
62,0.1,0.06,67,29
63,0.12,0.04,67,20
64,0.12,0.04,58,12
65,0.11,0.04,64,21
66,0.11,0.06,73,26
67,0.13,0.04,66,22
68,0.14,0.05,75,22
69,0.15,0.04,75,22
70,0.14,0.04,69,13
71,0.12,0.05,78,18
72,0.16,0.06,80,22
73,0.17,0.06,76,23
74,0.15,0.04,75,17
75,0.13,0.05,74,24
76,0.16,0.83,80,26
77,0.22,0.08,74,20
78,0.36,0.06,75,29
79,0.21,0.22,78,22
80,0.13,0.04,80,18
81,0.37,0.06,76,26
82,0.19,0.06,87,24
83,0.32,0.07,81,31
84,0.19,0.06,89,29
85,0.19,0.05,79,27
86,0.21,0.07,87,27
87,0.25,0.06,83,33
88,0.2,0.05,82,31
89,0.26,0.07,89,29
90,0.37,0.07,90,31
91,0.36,0.06,98,33
92,0.41,0.07,96,34
93,0.42,0.08,94,34
94,0.55,0.11,94,31
95,0.66,0.1,92,35
96,0.89,0.15,97,39
97,1.25,0.12,97,39
98,2,0.13,100,42
99,6.25,0.11,98,40
