Iteration,Insert,Search,Insert Collisions,Search Collisions,Unit: µs
0,0.07,0.01,3,1
1,0.05,0.01,1,3
2,0.05,0.01,0,2
3,0.09,0.01,5,4
4,0.07,0.01,5,4
5,0.06,0.01,8,2
6,0.03,0.01,2,5
7,0.06,0.01,8,5
8,0.06,0.01,12,5
9,0.05,0.01,7,5
10,0.03,0.14,12,7
11,0.05,0.01,8,7
12,0.05,0.01,6,8
13,0.05,0.01,11,9
14,0.05,0.01,12,10
15,0.03,0.01,16,8
16,0.05,0.01,11,8
17,0.05,0.02,12,16
18,0.24,0.02,17,10
19,0.06,0.01,24,9
20,0.04,0.01,31,5
21,0.06,0.02,21,10
22,0.07,0.02,24,13
23,0.06,0.02,18,11
24,0.16,0.02,16,14
25,0.27,0.02,27,10
26,0.07,0.02,25,14
27,0.06,0.02,24,12
28,0.07,0.02,33,13
29,0.05,0.02,30,13
30,0.07,0.02,25,10
31,0.08,0.02,35,16
32,0.07,0.03,40,14
33,0.04,0.03,29,13
34,0.08,0.02,31,11
35,0.08,0.02,39,15
36,0.08,0.03,35,21
37,0.08,0.03,42,19
38,0.05,0.03,33,20
39,0.08,0.03,34,18
40,0.08,0.02,45,14
41,0.18,0.03,46,19
42,0.08,0.03,40,16
43,0.09,0.03,42,18
44,0.09,0.04,41,18
45,0.09,0.03,48,16
46,0.1,0.04,48,27
47,0.07,0.05,46,30
48,0.1,0.04,48,27
49,0.09,0.03,48,10
50,0.1,0.04,48,24
51,0.11,0.04,53,18
52,0.09,0.04,55,20
53,0.1,0.04,57,28
54,0.11,0.04,48,31
55,0.1,0.04,50,23
56,0.09,0.04,49,22
57,0.12,0.05,57,31
58,0.12,0.05,58,27
59,0.11,0.04,57,29
60,0.11,0.04,63,25
61,0.1,0.05,63,25
62,0.12,0.05,62,28
63,0.12,0.05,57,29
64,0.12,0.07,64,36
65,0.1,0.06,60,37
66,0.12,0.07,66,30
67,0.14,0.06,63,31
68,0.14,0.06,72,36
69,0.13,0.06,64,26
70,0.11,0.04,75,25
71,0.14,0.07,70,24
72,0.16,0.05,75,23
73,0.15,0.05,74,33
74,0.12,0.06,79,32
75,0.18,0.07,80,36
76,0.18,0.08,77,40
77,0.18,0.07,79,44
78,0.18,0.07,78,37
79,0.2,0.07,80,30
80,0.19,0.08,79,35
81,0.21,0.08,79,42
82,0.33,0.08,82,44
83,0.48,0.08,77,34
84,0.49,0.1,81,47
85,0.27,0.09,91,41
86,0.26,0.09,85,41
87,0.27,0.09,85,35
88,0.3,0.07,91,31
89,0.34,0.09,92,41
90,0.34,0.11,90,41
91,0.54,0.11,96,41
92,0.79,0.39,96,50
93,1.17,0.52,95,44
94,1.5,0.48,93,48
95,1.72,0.86,96,44
96,1.5,1.02,97,42
97,1.9,1.39,97,60
98,4.21,0.87,98,49
99,16.55,0.6,100,39
