Iteration,Insert,Search,Insert Collisions,Search Collisions,Unit: µs
0,0.12,0.02,0,0
1,0.11,0.02,3,0
2,0.06,0.02,0,0
3,0.11,0.03,1,0
4,0.15,0.03,6,0
5,0.11,0.03,5,0
6,0.1,0.03,6,0
7,0.06,0.03,3,0
8,0.11,0.03,8,1
9,0.11,0.03,8,1
10,0.11,0.03,15,1
11,0.06,0.03,9,1
12,0.11,0.03,13,2
13,0.1,0.03,8,1
14,0.11,0.03,13,1
15,0.1,0.03,13,3
16,0.06,0.03,8,0
17,0.11,0.03,11,1
18,0.12,0.03,11,2
19,0.11,0.03,18,2
20,0.07,0.03,18,1
21,0.11,0.03,24,2
22,0.1,0.03,23,0
23,0.1,0.03,22,2
24,0.12,0.03,39,3
25,0.07,0.03,19,2
26,0.12,0.03,25,4
27,0.12,0.03,26,4
28,0.12,0.03,28,3
29,0.11,0.03,25,1
30,0.09,0.03,34,3
31,0.12,0.03,31,5
32,0.12,0.03,27,4
33,0.12,0.03,28,4
34,0.08,0.03,26,4
35,0.13,0.03,39,4
36,0.12,0.04,32,5
37,0.12,0.04,33,8
38,0.14,0.04,45,9
39,0.09,0.03,39,6
40,0.14,0.03,43,2
41,0.25,0.04,47,10
42,0.13,0.04,38,10
43,0.08,0.04,40,9
44,0.13,0.04,43,8
45,0.15,0.04,48,9
46,0.13,0.04,34,13
47,0.13,0.04,43,6
48,0.1,0.04,46,18
49,0.15,0.05,49,7
50,0.15,0.04,47,11
51,0.14,0.04,56,11
52,0.1,0.04,45,11
53,0.15,0.04,45,11
54,0.15,0.04,58,8
55,0.15,0.05,48,14
56,0.17,0.04,70,12
57,0.11,0.11,54,19
58,0.16,0.05,51,11
59,0.15,0.04,51,11
60,0.15,0.05,55,10
61,0.16,0.05,68,17
62,0.13,0.06,68,28
63,0.18,0.04,66,17
64,0.16,0.05,52,13
65,0.16,0.06,64,21
66,0.12,0.06,67,25
67,0.18,0.05,70,17
68,0.19,0.05,75,20
69,0.2,0.06,70,24
70,0.19,0.06,69,13
71,0.16,0.05,76,15
72,0.23,0.06,72,23
73,0.27,0.07,76,21
74,0.23,0.06,79,18
75,0.22,0.06,76,22
76,0.26,0.07,82,29
77,0.24,0.07,74,21
78,0.27,0.09,77,31
79,0.27,0.06,82,25
80,0.23,0.06,78,20
81,0.36,0.06,78,28
82,0.31,0.07,87,28
83,0.53,0.11,81,31
84,0.29,0.09,85,30
85,0.39,0.11,81,31
86,0.39,0.08,85,23
87,0.51,0.11,82,33
88,0.49,0.09,87,30
89,0.61,0.15,90,31
90,0.76,0.11,92,35
91,0.86,0.12,96,31
92,0.92,0.12,95,31
93,1.24,0.12,93,34
94,1.58,0.15,95,30
95,2.36,0.18,96,40
96,2.27,0.37,93,40
97,3.93,0.52,99,41
98,8.12,0.45,99,40
99,37.1,0.84,99,45
